,year,artist.inverted,track,time,genre,date.entered,date.peaked,week,rank,gap_week
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,1,78,False
317,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,2,63,False
634,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,3,49,False
951,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,4,33,False
1268,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,5,23,False
1585,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,6,15,False
1902,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,7,7,False
2219,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,8,5,False
2536,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,9,1,False
2853,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,10,1,False
3170,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,11,1,False
3487,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,12,1,False
3804,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,13,1,False
4121,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,14,1,False
4438,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,15,1,False
4755,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,16,1,False
5072,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,17,1,False
5389,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,18,1,False
5706,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,19,1,False
6023,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,20,2,False
6340,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,21,3,False
6657,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,22,7,False
6974,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,23,10,False
7291,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,24,12,False
7608,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,25,15,False
7925,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,26,22,False
8242,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,27,29,False
8559,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,31,False
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,1,15,False
318,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,2,8,False
635,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,3,6,False
952,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,4,5,False
1269,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,5,2,False
1586,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,6,3,False
1903,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,7,2,False
2220,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,8,2,False
2537,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,9,1,False
2854,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,10,1,False
3171,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,11,1,False
3488,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,12,1,False
3805,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,13,1,False
4122,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,14,1,False
4439,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,15,1,False
4756,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,16,1,False
5073,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,17,1,False
5390,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,18,1,False
5707,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,19,8,False
6024,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,20,15,False
6341,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,21,19,False
6658,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,22,21,False
6975,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,23,26,False
7292,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,24,36,False
7609,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,25,48,False
7926,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,47,False
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,1,71,False
319,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,2,48,False
636,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,3,43,False
953,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,4,31,False
1270,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,5,20,False
1587,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,6,13,False
1904,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,7,7,False
2221,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,8,6,False
2538,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,9,4,False
2855,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,10,4,False
