,year,artist.inverted,track,time,date.entered,date.peaked,week,rank,gap_week,total_time_s,date.entered.year,date.entered.month,date.entered.day,date.entered.quarter,date.peaked.year,date.peaked.month,date.peaked.day,date.peaked.quarter,genre_Electronica,genre_Gospel,genre_Jazz,genre_Latin,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Rock
0,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,1,78,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
317,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,2,63,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
634,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,3,49,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
951,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,4,33,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1268,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,5,23,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1585,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,6,15,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1902,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,7,7,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2219,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,8,5,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2536,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,9,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2853,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,10,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3170,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,11,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3487,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,12,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3804,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,13,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4121,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,14,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4438,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,15,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4755,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,16,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5072,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,17,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5389,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,18,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5706,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,19,1,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6023,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,20,2,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6340,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,21,3,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6657,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,22,7,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6974,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,23,10,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7291,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,24,12,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7608,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,25,15,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7925,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,26,22,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
8242,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,27,29,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
8559,2000,Destiny's Child,Independent Women Part I,3:38,2000-09-23,2000-11-18,28,31,False,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,1,15,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
318,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,2,8,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
635,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,3,6,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
952,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,4,5,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1269,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,5,2,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1586,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,6,3,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1903,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,7,2,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2220,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,8,2,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2537,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,9,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2854,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,10,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3171,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,11,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3488,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,12,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3805,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,13,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
4122,2000,Santana,"Maria, Maria",4:18,2000-02-12,2000-04-08,14,1,False,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
