,week,rank,total_time_s,date.entered.year,date.entered.month,date.entered.day,date.entered.quarter,date.peaked.year,date.peaked.month,date.peaked.day,date.peaked.quarter,genre_Electronica,genre_Gospel,genre_Jazz,genre_Latin,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Rock
0,1,78,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
317,2,63,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
634,3,49,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
951,4,33,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1268,5,23,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1585,6,15,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1902,7,7,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2219,8,5,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2536,9,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
2853,10,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3170,11,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3487,12,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
3804,13,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4121,14,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4438,15,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
4755,16,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5072,17,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5389,18,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
5706,19,1,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6023,20,2,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6340,21,3,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6657,22,7,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
6974,23,10,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7291,24,12,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7608,25,15,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
7925,26,22,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
8242,27,29,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
8559,28,31,218,2000,9,23,3,2000,11,18,4,0,0,0,0,0,0,0,0,1
1,1,15,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
318,2,8,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
635,3,6,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
952,4,5,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1269,5,2,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1586,6,3,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
1903,7,2,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2220,8,2,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2537,9,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2854,10,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3171,11,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3488,12,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
3805,13,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
4122,14,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
4439,15,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
4756,16,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5073,17,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5390,18,1,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
5707,19,8,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6024,20,15,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6341,21,19,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6658,22,21,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
6975,23,26,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7292,24,36,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7609,25,48,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
7926,26,47,258,2000,2,12,1,2000,4,8,2,0,0,0,0,0,0,0,0,1
2,1,71,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
319,2,48,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
636,3,43,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
953,4,31,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1270,5,20,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1587,6,13,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
1904,7,7,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2221,8,6,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2538,9,4,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
2855,10,4,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3172,11,4,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3489,12,6,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3806,13,4,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4123,14,2,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4440,15,1,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
4757,16,1,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5074,17,1,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5391,18,2,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
5708,19,1,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6025,20,2,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6342,21,4,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6659,22,8,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
6976,23,8,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7293,24,12,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7610,25,14,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
7927,26,17,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8244,27,21,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8561,28,24,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
8878,29,30,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9195,30,34,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9512,31,37,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
9829,32,46,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
10146,33,47,247,1999,10,23,4,2000,1,29,1,0,0,0,0,0,0,0,0,1
3,1,41,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
320,2,23,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
637,3,18,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
954,4,14,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1271,5,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1588,6,1,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
1905,7,1,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2222,8,1,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2539,9,1,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
2856,10,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3173,11,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3490,12,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
3807,13,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4124,14,2,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4441,15,4,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4758,16,8,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5075,17,11,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5392,18,16,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
5709,19,20,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6026,20,25,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6343,21,27,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6660,22,27,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
6977,23,29,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
7294,24,44,225,2000,8,12,3,2000,9,16,3,0,0,0,0,0,0,0,0,1
4,1,57,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
321,2,47,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
638,3,45,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
955,4,29,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1272,5,23,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1589,6,18,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
1906,7,11,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2223,8,9,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2540,9,9,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
2857,10,11,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3174,11,1,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3491,12,1,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
3808,13,1,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4125,14,1,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4442,15,4,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
4759,16,8,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5076,17,12,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5393,18,22,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5710,19,23,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
6027,20,43,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
6344,21,44,218,2000,8,5,3,2000,10,14,4,0,0,0,0,0,0,0,0,1
5,1,59,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
322,2,52,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
639,3,43,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
956,4,30,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1273,5,29,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1590,6,22,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
1907,7,15,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2224,8,10,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2541,9,10,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
2858,10,5,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
3175,11,1,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
3492,12,1,257,2000,6,17,2,2000,8,26,3,0,0,0,0,0,0,0,0,1
