,week,rank,total_time_s,date.entered.year,date.entered.month,date.entered.day,date.entered.quarter,date.peaked.year,date.peaked.month,date.peaked.day,date.peaked.quarter,genre_Electronica,genre_Gospel,genre_Jazz,genre_Latin,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Rock
0,-1.1635422882368813,0.9305476452185487,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
317,-1.0524356901840746,0.412756595506126,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
634,-0.9413290921312679,-0.07051505089213522,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
951,-0.8302224940784612,-0.6228255039187195,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
1268,-0.7191158960256545,-0.9680195370603346,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
1585,-0.6080092979728478,-1.2441747635736267,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
1902,-0.49690269992004105,-1.520329990086919,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
2219,-0.38579610186723434,-1.589368796715242,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
2536,-0.27468950381442764,-1.727446409971888,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
2853,-0.16358290576162096,-1.727446409971888,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
3170,-0.05247630770881425,-1.727446409971888,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
3487,0.058630290343992454,-1.727446409971888,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
3804,0.16973688839679915,-1.727446409971888,-0.5974903471990206,0.4942235477423233,0.7417521743244496,0.7920874118497648,0.44593881921499867,0.0,1.269828005233972,0.31001444537445727,1.3481659624614326,-0.11726446574911564,-0.06149917284168789,-0.03070606667489394,-0.18354934015854907,-0.16276949448513037,-0.2274068808089827,-0.43298041040465496,-0.0532346842555102,1.0255717667634836
